epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,719.786,1.37988,2.41675,1.65621,0.32219,0.49806,0.31293,0.1905,1.2959,3.09609,1.57756,0.000472297,0.000472297,0.000472297
2,1477.67,1.27414,1.69329,1.51678,0.27834,0.49344,0.28443,0.1646,1.38839,3.72952,1.65975,0.000854716,0.000854716,0.000854716
3,2135.78,1.26298,1.44922,1.49718,0.37963,0.67129,0.39412,0.24874,1.18063,2.42856,1.4353,0.00114282,0.00114282,0.00114282
4,2801.4,1.21372,1.26023,1.45279,0.45865,0.68037,0.44635,0.26735,1.20872,2.39295,1.42581,0.00100459,0.00100459,0.00100459
5,3499.16,1.13821,1.10869,1.38442,0.44099,0.67978,0.42872,0.27277,1.1193,2.05598,1.37758,0.000863116,0.000863116,0.000863116
6,4220.18,1.06872,0.98283,1.324,0.42959,0.77387,0.44041,0.28366,1.10734,2.05635,1.32693,0.000721645,0.000721645,0.000721645
7,4899.44,1.01575,0.898,1.2849,0.45624,0.70251,0.46129,0.30059,1.05508,1.84505,1.28586,0.000580174,0.000580174,0.000580174
8,5583.51,0.96372,0.83162,1.2455,0.43938,0.77506,0.45818,0.31087,1.04158,2.02622,1.28797,0.000438703,0.000438703,0.000438703
9,6237.38,0.91038,0.76824,1.21591,0.41648,0.80384,0.47024,0.31584,1.01816,1.8542,1.26225,0.000297232,0.000297232,0.000297232
10,7134.48,0.86871,0.72341,1.18241,0.43079,0.84713,0.4762,0.32245,0.98405,1.89617,1.2405,0.000155761,0.000155761,0.000155761
