epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,623.008,1.5125,2.89255,1.77577,0.59095,0.10664,0.16844,0.0814,1.79976,3.91848,2.00898,0.000468651,0.000468651,0.000468651
2,1223.54,1.4934,2.332,1.73862,0.36409,0.37569,0.21221,0.0955,1.80694,3.46017,2.157,0.00085143,0.00085143,0.00085143
3,1767.93,1.51082,2.14035,1.74928,0.2794,0.59058,0.29521,0.17312,1.41813,3.78614,1.75485,0.0011399,0.0011399,0.0011399
4,2446.77,1.44794,1.96681,1.68362,0.35168,0.58449,0.33691,0.19637,1.33148,2.77421,1.59856,0.00100459,0.00100459,0.00100459
5,3154.31,1.36221,1.79883,1.62773,0.34829,0.61878,0.37608,0.23437,1.25252,2.33912,1.49886,0.000863116,0.000863116,0.000863116
6,3722.3,1.31852,1.64779,1.571,0.41252,0.72761,0.44468,0.28344,1.13684,2.0628,1.39241,0.000721645,0.000721645,0.000721645
7,4117.97,1.25091,1.57479,1.52716,0.41518,0.69657,0.43798,0.28225,1.12042,2.1495,1.38422,0.000580174,0.000580174,0.000580174
8,4507.41,1.18201,1.46321,1.49143,0.42086,0.6985,0.45255,0.29306,1.06301,2.02606,1.33365,0.000438703,0.000438703,0.000438703
9,4884.04,1.14018,1.41898,1.43919,0.42108,0.70153,0.44345,0.29727,1.03266,2.00117,1.31927,0.000297232,0.000297232,0.000297232
10,5259.86,1.08688,1.33056,1.40629,0.43786,0.70938,0.46682,0.31237,1.02862,1.84948,1.28413,0.000155761,0.000155761,0.000155761
