epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.594,1.40505,2.5531,1.67994,0.32655,0.47668,0.31646,0.19396,1.3213,3.19315,1.63028,0.000470663,0.000470663,0.000470663
2,942.011,1.31102,1.79177,1.53752,0.37218,0.55583,0.3412,0.20003,1.33406,3.53803,1.60512,0.000853243,0.000853243,0.000853243
3,1457.8,1.30107,1.61784,1.53639,0.29975,0.49877,0.26633,0.13029,1.61225,3.0883,1.89383,0.00114151,0.00114151,0.00114151
4,1963.14,1.24742,1.41191,1.48614,0.40369,0.59265,0.4029,0.24424,1.2342,2.75937,1.4822,0.00100459,0.00100459,0.00100459
5,19694.3,1.18432,1.25176,1.43344,0.38191,0.70703,0.41997,0.26003,1.17527,2.1927,1.43158,0.000863116,0.000863116,0.000863116
6,20316.5,1.11346,1.1281,1.38017,0.41791,0.75095,0.43462,0.27443,1.11829,2.14666,1.35284,0.000721645,0.000721645,0.000721645
7,20921.2,1.03904,1.03183,1.32556,0.4564,0.67286,0.43946,0.28964,1.0726,2.06314,1.32221,0.000580174,0.000580174,0.000580174
8,21527.6,1.0019,0.96227,1.29196,0.43903,0.75136,0.48036,0.31119,1.04105,1.87244,1.27828,0.000438703,0.000438703,0.000438703
9,22136.7,0.94297,0.87969,1.24423,0.43021,0.75844,0.46695,0.3182,1.01451,1.94501,1.27519,0.000297232,0.000297232,0.000297232
10,22754.3,0.90679,0.83542,1.23327,0.44421,0.7697,0.47703,0.31722,1.01691,1.8913,1.27357,0.000155761,0.000155761,0.000155761
