epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,727.365,1.44615,3.41906,1.71815,0.30339,0.24098,0.24045,0.11759,1.57217,3.50809,1.79029,0.000471423,0.000471423,0.000471423
2,1557.66,1.46463,2.74924,1.70433,0.22533,0.35533,0.15436,0.07198,2.0202,5.98337,2.32615,0.000853928,0.000853928,0.000853928
3,2272.72,1.50113,2.391,1.73727,0.30287,0.39481,0.24667,0.12316,1.76989,2.99574,2.16298,0.00114212,0.00114212,0.00114212
4,2899.67,1.49343,2.13347,1.73209,0.32215,0.47322,0.29497,0.16665,1.49644,2.44388,1.73409,0.00100459,0.00100459,0.00100459
5,3409.56,1.38031,1.81196,1.61142,0.37171,0.59775,0.36069,0.22125,1.28345,2.24553,1.53926,0.000863116,0.000863116,0.000863116
6,3932.2,1.28279,1.67987,1.52453,0.38589,0.67694,0.39264,0.23241,1.26814,1.95522,1.45457,0.000721645,0.000721645,0.000721645
7,4457.45,1.21782,1.50721,1.47291,0.44136,0.61783,0.41758,0.25705,1.19577,1.74108,1.43844,0.000580174,0.000580174,0.000580174
8,4980.98,1.15062,1.4167,1.42159,0.4285,0.71972,0.46542,0.30107,1.12154,1.72445,1.31953,0.000438703,0.000438703,0.000438703
9,5507.7,1.10352,1.31461,1.37342,0.42326,0.72787,0.46306,0.30498,1.0679,1.60404,1.30415,0.000297232,0.000297232,0.000297232
10,6033.41,1.02637,1.27201,1.3285,0.43753,0.74788,0.45873,0.30673,1.05018,1.59738,1.29303,0.000155761,0.000155761,0.000155761
