epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,552.339,1.43218,3.05343,1.74003,0.61306,0.19584,0.2033,0.10575,1.46704,3.79501,1.94874,0.000469624,0.000469624,0.000469624
2,1079.69,1.38668,2.36778,1.65345,0.27712,0.48359,0.26916,0.14953,1.49583,3.80518,1.82518,0.000852308,0.000852308,0.000852308
3,1766.5,1.41888,2.14031,1.64216,0.30038,0.41314,0.27241,0.15165,1.47421,4.01233,1.75059,0.00114068,0.00114068,0.00114068
4,2290.83,1.39504,1.94916,1.61661,0.35787,0.48165,0.33516,0.18358,1.47118,2.46999,1.63835,0.00100459,0.00100459,0.00100459
5,2805.06,1.28357,1.67962,1.53542,0.3696,0.62008,0.40775,0.25505,1.15415,2.1348,1.40098,0.000863116,0.000863116,0.000863116
6,3318.24,1.22573,1.51922,1.50488,0.42486,0.67445,0.43856,0.26256,1.22818,2.04211,1.46064,0.000721645,0.000721645,0.000721645
7,3828.14,1.17518,1.38767,1.45881,0.40392,0.63279,0.40868,0.25728,1.17865,2.14779,1.42118,0.000580174,0.000580174,0.000580174
8,4341.68,1.11701,1.26244,1.40792,0.42293,0.67043,0.43559,0.29473,1.01135,1.89466,1.28546,0.000438703,0.000438703,0.000438703
9,4859.44,1.03928,1.22505,1.34803,0.41751,0.73309,0.45548,0.29739,1.02835,1.85811,1.28997,0.000297232,0.000297232,0.000297232
10,5371.15,0.99697,1.14914,1.32495,0.44608,0.71598,0.45659,0.3095,0.96271,1.81496,1.24907,0.000155761,0.000155761,0.000155761
